Authors, Author(s) ID, Title, Year
"Nowak B,Stoń B,Sznajd-Weron K","57208597387; 57222109839; 6701680061","Discontinuous phase transitions in the multi-state noisy q-voter model: quenched vs. annealed disorder",2021
"Jadczak J,Kutrowska-Girzycka J,Bieniek M,Kazimierczuk T,Kossacki P,Schindler J.J,Debus J,Watanabe K,Taniguchi T,Ho C.H,Wójs A,Hawrylak P,Bryja L","25627671800; 57208556022; 57191189949; 22734220500; 7005880157; 57216643208; 36150133800; 57203090873; 55252500400; 57137250500; 7004416503; 57190849862; 55932273900","Probing negatively charged and neutral excitons in MoS<inf>2</inf>/hBN and hBN/MoS<inf>2</inf>/hBN van der Waals heterostructures",2021
"Wigger D,Gawarecki K,Machnikowski P","52365464200; 36459801500; 6701755717","Remote Phonon Control of Quantum Dots and Other Artificial Atoms",2021
"Hradovich E,Klonowski M,Kowalski D.R","57209775434; 55914696700; 7005277945","New view on adversarial queueing on MAC",2021
"Łydżba P,Rigol M,Vidmar L","56741361600; 6603873217; 36939067700","Entanglement in many-body eigenstates of quantum-chaotic quadratic Hamiltonians",2021
"Mitus A.C,Saphiannikova M,Radosz W,Toshchevikov V,Pawlik G","7003961190; 6602734744; 55551276500; 6602944909; 7007035077","Modeling of nonlinear optical phenomena in host-guest systems using bond fluctuation monte carlo model: A review",2021
"Roszak K,Cywiński Ł","12242263200; 12544974600","Qubit-environment-entanglement generation and the spin echo",2021
"Sznajd-Weron K,Sznajd J,Weron T","6701680061; 57213088170; 56120861500","A review on the Sznajd model — 20 years after",2021
"Weiß M,Wigger D,Nägele M,Müller K,Finley J.J,Kuhn T,Machnikowski P,Krenner H.J","57189367904; 52365464200; 57219584803; 24290590600; 56016491400; 57222194515; 6701755717; 7801447994","Optomechanical wave mixing by a single quantum dot",2021
"Klausen K.O,Sitek A,Erlingsson S.I,Manolescu A","57219528362; 22735444200; 57213371025; 7004380794","Erratum: Majorana zero modes in nanowires with combined triangular and hexagonal geometry (Nanotechnology (2020) 31 (354001))",2021
"Hahn T,Kasprzak J,Machnikowski P,Kuhn T,Wigger D","57211365669; 7007080579; 6701755717; 57222194515; 52365464200","Influence of local fields on the dynamics of four-wave mixing signals from 2D semiconductor systems",2021
"Prelovšek P,Mierzejewski M,Krsnik J,Barišić O.S","7005743482; 7003815262; 57219474584; 8057436200","Many-body localization as a percolation phenomenon",2021
"Rzepkowski B,Roszak K","57219757144; 12242263200","A scheme for direct detection of qubit–environment entanglement generated during qubit pure dephasing",2021
"Torfason K,Sitek A,Manolescu A,Valfells A","36129776600; 22735444200; 7004380794; 6701786067","Dynamics of a Field Emitted Beam From a Microscopic Inhomogeneous Cathode",2021
"Sitek A,Torfason K,Manolescu A,Valfells Á","22735444200; 36129776600; 7004380794; 6701786067","Space-Charge Effects in the Field-Assisted Thermionic Emission from Nonuniform Cathodes",2021
"Nowak B,Matuszewska A,Tomanik M,Filipiak J,Kucharska A.Z,Piórecki N,Jędrzejuk D,Zduniak K,Trocha M,Bolanowski M,Szeląg A,Sozański T","23020117900; 37124381000; 57221490584; 36778321400; 56672592300; 55941940200; 6602960101; 56160472500; 6603029805; 7003537848; 7004642106; 6506887785","Cornelian cherry extract ameliorates osteoporosis associated with hypercholesterolemia in New Zealand rabbits",2021
